time,01H,01V,06H,06V,10H,10V,19H,19V,37H,37V
2016-01-10,199.70999,234.03,228.7,251.2,244.7,259.4,253.5,266.9,248.29999,263.19998
2016-01-11,204.62,233.62,226.9,244.2,239.79999,253.9,251.09999,266.4,243.7,258.69998
2016-01-13,202.4,233.01,236.9,252.2,244.2,255.4,253.59999,265.69998,248.09999,258.6
2016-01-14,203.18,237.65999,223.5,240.0,235.09999,248.9,248.79999,263.0,235.59999,247.09999
2016-01-15,202.61,234.79999,209.7,229.9,223.7,240.29999,237.0,251.59999,224.0,236.0
2016-01-16,201.86,232.65999,198.5,220.29999,211.4,230.4,224.09999,239.29999,218.2,229.09999
2016-01-21,199.47,233.54999,197.8,220.7,217.79999,236.79999,242.7,256.3,245.59999,255.59999
2016-01-23,197.42,233.62,198.09999,221.5,216.29999,237.2,239.5,253.2,238.4,250.9
2016-01-24,198.65999,232.18,188.5,213.7,204.3,227.9,222.09999,237.79999,221.59999,235.7
2016-01-28,197.31999,231.19,190.0,214.7,205.5,228.2,222.5,239.5,224.7,237.59999
2016-01-29,199.69,233.45,219.09999,239.2,236.5,253.79999,249.59999,264.8,248.79999,260.8
2016-01-30,,,184.8,209.59999,197.0,220.5,218.0,235.0,229.0,241.79999
