site,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,VV40
shackleton,154.20351717063014,185.48550203010913,154.17795530065146,183.24798235037477,170.28205771225504,198.8488213452436,194.71495285706393,222.1261267452363,183.2342153354227,234.45359336546554,-4.049864884066826
amery,119.32609346064245,150.99423965307741,131.89303683203784,163.7253380777481,152.32410117173575,181.6990204946523,178.86580675925111,198.73026010380534,162.1143789490829,209.221212004209,-2.5138228014923745
aws5,185.55781900980622,222.9100434063908,189.97119347258248,225.7040261206342,190.76338876237858,223.16988226180206,198.0797420947211,228.04764018581366,178.7585799552806,218.6071359533434,-6.295149948628551
aws11,199.24363234308564,230.59628440875525,209.004775114798,239.57642590308237,218.2888169065031,246.60750276587973,215.33984116192798,239.72176367611047,206.14864878564413,240.57222669605127,-7.303535678561614
aws15,118.68875306220609,165.89791794147195,129.56445857403907,173.78477878271707,146.64984759650363,183.0935637335373,177.38266721679332,202.72061324614526,137.11439500273977,203.39302287961362,-3.3111709381544636
aws17,138.86142776418376,177.33160321536653,141.04193798819455,174.7962091093989,149.8851083742784,176.5366413078831,168.29139075452602,189.10446101164723,147.80477067899056,196.2063727016363,-3.696083973716825
aws19,172.48943937185368,200.49672979266313,171.74446929486447,198.40169042305888,171.99249596847542,195.241284056296,188.12462706097588,206.18645803642877,206.635351836491,242.1595085274463,-4.97012626763338
wilkins,136.68773858783715,203.81481668938613,137.0035012242198,197.26242647443925,147.53222364391993,195.80173238275515,180.88581000454008,210.89836917188748,135.32924889104967,207.87661981672386,-6.635741679418177
