,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth
0,200.15972434355734,230.32162557504424,200.06248549909512,230.29412801946114,201.15253388421115,231.46575771135997,209.57995270532538,240.2078113134605,9,0,0.0
1,201.42959985718844,230.57028902909508,201.8487999805328,231.06292537677746,204.34131505579097,233.60967383347023,216.6119063428326,245.96256347958968,9,0,0.1
2,201.75143232508808,230.85975266094556,202.69515599638552,231.8910459868712,206.61227906301426,235.86616009085705,221.35544401457733,250.50030822458248,9,0,0.2
3,202.15338601853887,231.22443578859648,203.55062328559487,232.70009151353665,208.70573182006586,237.88398665851756,225.07228880068763,253.9620322463378,9,0,0.30000000000000004
4,202.58822853527997,231.5332790995488,204.4431795534029,233.4590144777372,210.67529028021983,239.67567434981225,227.99969675943868,256.5995404945502,9,0,0.4
5,202.99431378126943,231.91287471920944,205.3180541518236,234.31527819675674,212.58072898499495,241.5459549724949,230.44347630818731,258.896465783786,9,0,0.5
6,203.4167011372656,232.28870073497674,206.0447743350253,234.98455975980067,214.29240321719345,243.1588515079565,232.31553388284962,260.59544062038646,9,0,0.6000000000000001
7,203.83392266946873,232.62962753772646,206.8602499769124,235.7098392127873,215.85705996407097,244.5769548754817,233.76021617974067,261.8595765543289,9,0,0.7000000000000001
8,204.3123156104615,233.02692690347536,207.7649528975565,236.5439837224701,217.4667442900772,246.10456151599138,234.96869961930747,262.9812775473095,9,0,0.8
9,204.79554645631396,233.47060942329497,208.5866525865958,237.30892056724664,218.86693417079567,247.4048186764914,235.84222167288314,263.753685563583,9,0,0.9
10,205.2993224895202,233.82141572541218,209.45347075873016,238.01525082415583,220.1943363937917,248.548258060819,236.47840647671998,264.287066804688,9,0,1.0
11,205.74969594822272,234.26744121096783,210.27105291968738,238.8306611145913,221.49816567222277,249.81669132762582,236.959002208289,264.71301432137903,9,0,1.1
12,206.1477547906878,234.66330332565335,210.97411804768407,239.51780757007955,222.57914492401883,250.83443227007274,237.28178420027027,264.98363964562924,9,0,1.2000000000000002
13,206.64847280359436,235.0372764335197,211.75472188312241,240.15897304384183,223.6112154743609,251.721015152565,237.5143447004777,265.1689158756416,9,0,1.3
14,207.09803068503706,235.47344965864113,212.52070895194583,240.9090162853831,224.64649726607794,252.70403055485968,237.62377611052133,265.2380931170866,9,0,1.4000000000000001
15,207.52205789988605,235.90094676100986,213.18933579067166,241.56109738916783,225.51886943962893,253.51859557956357,237.68132482525388,265.2639476935515,9,0,1.5
16,208.0522907667007,236.25800733665398,213.9763226393576,242.1812029356671,226.38227536689598,254.23948833234695,237.70996899376115,265.2652546104445,9,0,1.6
17,208.48030797195585,236.66224536433444,214.65699315173347,242.82276864264819,227.08392855830002,254.86141830338158,237.6607360341832,265.1866463136506,9,0,1.7000000000000002
18,208.91425838393192,237.09547639079975,215.2715523301709,243.40832365733172,227.8190405506241,255.53974514585664,237.6173653503508,265.1246787466353,9,0,1.8
19,209.4191625503575,237.44548459200746,215.95251236869012,243.9361680782259,228.52994752822585,256.1392051438785,237.57278326190536,265.06576073733885,9,0,1.9000000000000001
20,209.93574142907832,237.9814315424796,216.73186743385256,244.7408159431466,229.3128958439104,256.91125029408744,237.5102377423339,264.99042416116527,9,0,2.0
21,211.7120958529767,239.57871369186103,219.0904701790302,246.86985368560124,231.4220372949884,258.7847103220157,237.2799209973895,264.72580364504677,9,0,2.4
22,212.91662206433804,240.26333799202098,220.93167680719498,248.25248942289724,232.6978001257962,259.77741194464886,237.1481717866984,264.58209136277986,9,0,2.8
23,215.0581940764693,242.63008610390233,223.27190411272522,250.72626495425357,233.99156008659833,261.0816545286913,235.79724238412834,263.1958032533112,9,0,3.2
24,216.23229656385575,243.75603439666838,224.62562508413848,251.9919870078399,234.50953720324966,261.5179213902514,235.79724238412834,263.1958032533112,9,0,3.6
25,217.2247508140943,244.66553519323384,225.6094662084586,252.85384993787045,234.6611998661744,261.5900049482886,235.79724238412834,263.1958032533112,9,0,4.0
26,217.56375307984655,245.41709354259376,226.14660724762177,253.61017605970102,234.60402224292557,261.50525759447555,235.79724238412834,263.1958032533112,9,0,4.4
27,218.22813123696332,245.954421331484,226.54614735342804,253.86620145179648,234.38574441406683,261.2246287191282,235.79724238412834,263.1958032533112,9,0,4.800000000000001
28,218.6170467640318,246.70964166975645,226.94518414425426,254.42574587509472,234.21448177508907,261.0290776001386,235.79724238412834,263.1958032533112,9,0,5.2
29,219.2902812379712,247.32835342202333,227.24043598672313,254.6505687654011,232.9475553700984,259.68828916436536,235.7978721781943,263.19318163272254,9,0,5.6
30,219.39554904920254,247.66831316593723,227.22542821067543,254.68515240202575,233.85671308317717,260.623880815868,235.79724238412834,263.1958032533112,9,0,6.0
31,219.60464137279456,248.08183485507865,227.18506678870204,254.66728965328605,233.75522027242124,260.5127587393735,235.79724238412834,263.1958032533112,9,0,6.4
32,219.63561181196084,248.25106245477645,226.94637633676533,254.4064561824522,233.6850998608148,260.4372524629923,235.79724238412834,263.1958032533112,9,0,6.800000000000001
33,219.8401717387745,248.6056353162828,226.7745638389954,254.22263055555143,232.39211425602903,259.08942267007836,235.79724238412834,263.1958032533112,9,0,7.2
34,219.81973494071428,248.6624462644927,226.42781082682626,253.82700196159382,232.39211425602903,259.08942267007836,235.79724238412834,263.1958032533112,9,0,7.6000000000000005
35,219.95360909271824,248.91492034835656,226.16119933424707,253.53433622478923,232.39391791508115,259.08796359847827,235.7978721781943,263.19318163272254,9,0,8.0
36,219.33341083689746,248.5385996787758,225.39879171847815,252.63338097543863,232.39211425602903,259.08942267007836,235.79724238412834,263.1958032533112,9,0,10.0
37,215.81417152250927,244.53146428506227,223.86402324359827,250.95614716029297,232.39211425602903,259.08942267007836,235.79724238412834,263.1958032533112,9,0,15.0
38,200.19992836459505,230.36347330380121,200.01597460902025,230.246872022567,201.15253388421115,231.46575771135997,209.57995270532538,240.2078113134605,3,1,0.0
39,201.46974028670755,230.61196995272795,201.80230273669758,231.0157579482422,204.34131505579097,233.60967383347023,216.6119063428326,245.96256347958968,3,1,0.1
40,201.7913874564355,230.90124266715335,202.64898855582328,231.8441946754688,206.61227906301426,235.86616009085705,221.35544401457733,250.50030822458248,3,1,0.2
41,202.19314796608714,231.26573376897176,203.50469261908438,232.65344626502502,208.70573182006586,237.88398665851756,225.07228880068763,253.9620322463378,3,1,0.30000000000000004
42,202.62776134688428,231.57441452457408,204.39741912328773,233.41242072020762,210.67529028021983,239.67567434981225,227.99969675943868,256.5995404945502,3,1,0.4
43,203.033760721451,231.95392247468186,205.27255214623057,234.26892559379334,212.58072898499495,241.5459549724949,230.44347630818731,258.896465783786,3,1,0.5
44,203.4559188321795,232.32952547629046,206.11015596955608,235.0514431919989,214.29240321719345,243.1588515079565,232.31553388284962,260.59544062038646,3,1,0.6000000000000001
45,203.8729529632926,232.67028479271536,206.9252142151994,235.77636232596214,215.85705996407097,244.5769548754817,233.76021617974067,261.8595765543289,3,1,0.7000000000000001
46,204.35116093793232,233.06744298200886,207.82957880333376,236.6102879631613,217.4667442900772,246.10456151599138,234.96869961930747,262.9812775473095,3,1,0.8
47,204.83420429975007,233.5109412529798,208.65097934530772,237.3749626080213,218.86693417079567,247.4048186764914,235.84222167288314,263.753685563583,3,1,0.9
48,205.33784436573094,233.86168944628335,209.51743477058565,238.0811331112704,220.1943363937917,248.548258060819,236.47840647671998,264.287066804688,3,1,1.0
49,205.788176598837,234.3076623302902,210.33489419207672,238.89639235555612,221.49816567222277,249.81669132762582,236.959002208289,264.71301432137903,3,1,1.1
50,206.1860774146359,234.70335585177338,211.03774546492593,239.583302314642,222.57914492401883,250.83443227007274,237.28178420027027,264.98363964562924,3,1,1.2000000000000002
51,206.68657004698986,235.07716191330707,211.8179247698728,240.22422761125176,223.6112154743609,251.721015152565,237.5143447004777,265.1689158756416,3,1,1.3
52,207.13608775698387,235.51328223265256,212.58379973531,240.97412953264728,224.64649726607794,252.70403055485968,237.62377611052133,265.2380931170866,3,1,1.4000000000000001
53,207.5597462201585,235.94037336997317,213.25221734550703,241.62597721720874,225.51886943962893,253.51859557956357,237.68132482525388,265.2639476935515,3,1,1.5
54,208.09002421364218,236.2976024942091,214.03889563795272,242.24602828905728,226.38227536689598,254.23948833234695,237.70996899376115,265.2652546104445,3,1,1.6
55,208.51799863502407,236.70178283790375,214.71943834267296,242.88742901525987,227.08392855830002,254.86141830338158,237.6607360341832,265.1866463136506,3,1,1.7000000000000002
56,208.9516852218484,237.13471762030818,215.33380953751396,243.4727672789323,227.8190405506241,255.53974514585664,237.6173653503508,265.1246787466353,3,1,1.8
57,209.4564585745463,237.48467458040867,216.0145624628972,244.0006077341471,228.52994752822585,256.1392051438785,237.57278326190536,265.06576073733885,3,1,1.9000000000000001
