,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth
0,218.45371171826434,236.8032827493882,217.35948156769035,235.7465884575267,215.73638030516102,234.2806604747167,223.71181939021656,241.77235348057357,3,0,0.0
1,218.06043047487657,235.67051471278992,217.4230715405163,235.03575277974696,217.0112386110581,234.66194926035712,227.4222488652772,244.25483707158662,3,0,0.1
2,217.10230177047717,234.7196517760041,216.62882391947016,234.22492126729588,217.69689848743946,235.20580943680488,230.1650377112264,246.5807839717918,3,0,0.2
3,216.34272887108415,233.930861544883,216.3286589254218,233.856769217488,218.51155309412317,235.84577042160078,232.53590773150884,248.55169829034776,3,0,0.30000000000000004
4,215.50931176274875,233.03288827070025,216.03300927384674,233.4685105247183,219.06846651472722,236.15289745367068,234.36438492211857,249.99998131332035,3,0,0.4
5,213.7829702960172,232.00678439315638,215.80900664201224,233.23829772667395,219.98897770066517,236.94261059621323,235.44875409892052,250.93566653327227,3,0,0.5
6,196.04123670757036,229.94435509559457,197.76445806393227,231.06087508345246,204.08162191993856,235.08923305338618,225.5177630748708,248.64010568530077,3,0,0.6000000000000001
7,195.7786043575995,229.58263449901756,197.62534675555844,230.81358248602476,204.84459333969463,235.86764662559244,224.99592341163108,248.31503781060172,3,0,0.7000000000000001
8,195.6312255793476,229.41409584557516,197.83814052161995,231.0118174958507,205.3746088826614,236.36851488961202,223.32135913974463,246.57595403270088,3,0,0.8
9,195.6683088401582,229.37495948321035,198.16424371854214,231.2702874536715,205.84193774003575,236.79326827415866,221.26558827761014,244.42306693624334,3,0,0.9
10,195.56799859569054,229.11497437123603,198.21140045360985,231.18348886234674,205.6345731088435,236.50941778147202,219.1648079214505,242.17148788322746,3,0,1.0
11,192.57027465844098,224.6784720458466,195.8128326963457,227.18441128081375,203.18597226045236,232.67974794023357,215.01473486881966,237.51221705520544,3,0,1.1
12,187.535609023885,227.35272702579397,191.50932026497497,230.20418475796862,200.63409180963018,234.67449963085588,215.76651861425046,238.48379826627212,3,0,1.2000000000000002
13,187.76996336181315,227.60209228852707,191.7480522039852,230.46021870464543,199.63861257596483,233.5603534174326,215.02108597576682,237.66628570306924,3,0,1.3
14,187.99791885138015,227.84365742166096,191.970669321945,230.69635264825058,198.70300535426213,232.4848056272908,214.72163397542786,237.34195635561414,3,0,1.4000000000000001
15,188.257242226716,228.1273968785143,192.18939510052465,230.92836763992548,197.8684287590532,231.51356158491677,214.59199356847793,237.2025151633748,3,0,1.5
16,188.313063775705,227.98414263889683,192.29808576458066,230.89741098377007,197.07843586940564,230.58624163041299,214.53186809812837,237.1380539791034,3,0,1.6
17,188.46724035952826,228.0566845269744,192.09065354432315,230.51152888348383,195.5494968101001,228.7319167958249,213.28519104586672,235.80429915609318,3,0,1.7000000000000002
18,188.65972507202866,228.2458264744336,192.09176799611532,230.49399813385918,194.45958210511378,227.4502949007497,213.9174707710083,236.48076589232713,3,0,1.8
19,188.9035830110722,228.31434400130271,192.01222636396804,230.30302302509878,193.59227537710294,226.4403205444593,214.20877282449555,236.79239085164915,3,0,1.9000000000000001
20,189.34250031427823,228.83771034737447,192.08313770474902,230.4105720837177,192.60304373356362,225.27435724072504,214.20866332394172,236.79227371422175,3,0,2.0
21,190.1645662219729,229.51592243968472,191.15767095195457,229.20380988748323,189.86998167211289,222.0449627456999,214.20866332394172,236.79227371422175,3,0,2.4
22,191.13636902136642,230.22196328574472,189.78137925279793,227.44205342096276,188.8023060912516,220.80578392800828,214.20866332394172,236.79227371422175,3,0,2.8
23,191.30882702897108,230.33493677955582,187.88104138724836,225.13532438204732,187.70483106139775,219.4571715867904,214.15605531101437,236.63236286557552,3,0,3.2
24,191.03360588500772,230.26707111656762,186.4654572996124,223.49708341524445,188.33640333168134,220.27256738925632,214.20866332394172,236.79227371422175,3,0,3.6
25,190.94821298233387,230.14677054043605,185.21589352557797,221.99763077608955,187.5637141644702,219.39298314387122,214.20866332394172,236.79227371422175,3,0,4.0
26,190.57706120902478,229.67658958383976,183.85237152927536,220.34764629005812,187.2391247211832,218.92525887595923,214.15605531101437,236.63236286557552,3,0,4.4
27,190.16857255324726,229.29102012273876,183.22588742734902,219.6192210075286,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,4.800000000000001
28,189.63070493555315,228.69417316379915,183.01404417934256,219.3502948241988,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,5.2
29,189.0806623464881,228.0787644140827,182.85912407208332,219.15735479746377,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,5.6
30,188.52195879155192,227.41839744911306,182.76681780648573,219.04281713318227,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,6.0
31,188.0200158271108,226.83379079742622,182.70934513472446,218.97248367463249,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,6.4
32,187.4014079798771,226.09996369184037,181.34499815624332,217.3710004021598,187.2391247211832,218.92525887595923,214.15605531101437,236.63236286557552,3,0,6.800000000000001
33,187.06158406546987,225.69901619287754,182.6508756585866,218.90184464971253,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,7.2
34,186.66352835663218,225.22198277630957,182.63505494911712,218.883069400373,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,7.6000000000000005
35,186.15388994376121,224.6110339790303,181.7856712561951,217.87656866529798,187.23912472118323,218.92525887595926,214.15605531101443,236.63236286557554,3,0,8.0
36,184.94640024727312,223.16366032269764,181.17103772134578,217.19485967162825,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,10.0
37,184.03544429363407,222.0709716006207,181.17103772134578,217.19485967162825,187.56343122636548,219.39266102112248,214.20866332394172,236.79227371422175,3,0,15.0
38,218.15513456407888,236.65817101896266,216.8403202941189,235.40477974792526,215.47708728437618,234.18024765443207,223.47108481099505,241.7038708372358,7,1,0.0
39,217.7513232928119,235.50939292761637,216.90735373152563,234.69144404404182,216.76614424878449,234.57178438665156,227.22454506436995,244.22980303385637,7,1,0.1
40,216.79405163173982,234.55554633326912,216.41939576418704,234.16628191447185,217.47248011899146,235.1357083977968,230.01547959822668,246.6081863234681,7,1,0.2
41,215.8109875025278,233.53933397958747,215.94047332483083,233.62838479901453,217.8909742454159,235.42362538133125,232.44565826010196,248.64906278048312,7,1,0.30000000000000004
42,215.25137577690427,232.9202594480852,215.830841393241,233.4233354389419,218.83840976967875,236.1807876339995,234.29370457318845,250.18144369232897,7,1,0.4
43,213.42835061169964,231.7846155181831,215.29896144279468,232.91294679973362,219.7599065167943,236.88382826768625,235.30790823006478,250.9704794918116,7,1,0.5
44,196.47240403207212,229.95832358162912,198.14885529723628,231.1006731406502,204.99543028526563,235.8695475402402,226.56252701431274,249.7497715721598,7,1,0.6000000000000001
45,196.30219156714256,229.70442600043077,198.31596810579146,231.17881323105786,205.70438982306734,236.48875068522133,225.68243990027995,248.82983427984743,7,1,0.7000000000000001
46,196.25943422045043,229.55127179138913,198.59144043015178,231.3462345635129,206.3402352545255,237.02710026245802,224.06318450349087,247.1219623029924,7,1,0.8
47,196.30622416639946,229.48731812380512,198.91187618957466,231.55511960119642,206.80802689584814,237.40065000765378,222.0443735455469,244.958935466007,7,1,0.9
48,195.23109167825285,228.02724163989498,198.70860285562188,231.12248624891006,206.57510424448867,237.00684269156392,219.97781974766167,242.71059345981786,7,1,1.0
49,195.8939593908855,229.0414906941278,199.3298192592543,231.7803798572114,206.43425482154584,236.82656681242145,216.67006579620102,239.180789476111,7,1,1.1
