,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp
0,177.78457584179233,206.19778637927828,181.32086150923791,208.69152162380914,188.28968478253182,212.46125537270802,210.98350136052622,229.830543851167,33,0
1,178.00430189539736,206.15399913257468,181.43125088349174,208.80499624881855,188.27271983340728,212.4426242496106,210.98350136052622,229.830543851167,8,1
2,175.17271452116918,208.3046265348975,178.97837450777135,210.8962213490445,188.5160552652098,217.88311047540842,208.86749209125952,235.17442205622356,9,2
3,175.48077188590312,208.54242250700213,178.95354134978496,210.85901242140648,188.5243475608278,217.89238544504803,208.86749201596382,235.1744219754459,18,3
4,175.1727144604736,208.3046264622679,178.97837439235917,210.89622121489916,188.51605518414047,217.8831103803341,208.86749201596382,235.17442197544588,5,4
5,175.1727144604736,208.3046264622679,178.97837439235917,210.89622121489916,188.51605518414047,217.8831103803341,208.86749201596382,235.17442197544588,27,5
