,01H,01V,weight,drysp,depth
0,220.46507111768528,259.665037108792,1,0,0.0
1,232.44668728138532,258.9724786996084,1,0,0.4
2,223.3227047569219,256.94389787549375,1,0,0.8
3,223.28731899640653,256.6042572152286,1,0,1.2000000000000002
4,222.96561227092627,256.21584897689985,1,0,1.6
5,220.91738717009846,255.72191458497755,1,0,2.0
6,220.94710403272504,255.70998283542266,1,0,2.4000000000000004
7,220.63897085270114,255.52865695674924,1,0,2.8000000000000003
8,221.01311173848106,255.61416647331276,1,0,3.2
9,220.6871679068578,255.4708453248107,1,0,3.6
10,220.63465348773363,255.41542854706788,1,0,4.0
11,220.2436012119524,255.19262868676168,1,0,4.4
12,219.93388394941599,254.98275352574703,1,0,4.800000000000001
13,219.52940283289956,254.71318907980495,1,0,5.2
14,219.11917041726045,254.43661780584955,1,0,5.6000000000000005
15,218.5958070985177,254.09404048520713,1,0,6.0
16,218.2831557686996,253.93283809633098,1,0,6.4
17,217.90461269728732,253.65694815444425,1,0,6.800000000000001
18,217.39124735337887,253.2601491721538,1,0,7.2
19,216.96278162767086,252.89283957802468,1,0,7.6000000000000005
20,216.51982775468647,252.5052710384374,1,0,8.0
21,215.99729940597874,252.05991990580944,1,0,8.4
22,215.5863094829557,251.6881877623059,1,0,8.8
23,215.1886210185546,251.32611883055898,1,0,9.200000000000001
24,214.72546362066285,250.91415975282075,1,0,9.600000000000001
25,214.32723389171812,250.5548515758417,1,0,10.0
26,214.1469520528408,250.3447016486846,1,0,10.4
27,213.86848839658697,250.09702252828473,1,0,10.8
28,213.70198009243808,249.8775298835318,1,0,11.200000000000001
29,213.6088757889485,249.84228683962024,1,0,11.600000000000001
30,213.4472240498696,249.66874099359407,1,0,12.0
31,213.18280727090712,249.42055226588857,1,0,12.4
32,213.03375684359588,249.24451095776362,1,0,12.8
33,212.78437985415673,248.96286940063894,1,0,13.200000000000001
34,212.68238359058176,248.8821281927396,1,0,13.600000000000001
35,212.56775883473063,248.75766476367147,1,0,14.0
36,212.32911950657166,248.51057231661287,1,0,14.4
37,212.28375847482334,248.46340650821867,1,0,14.8
38,212.07555771452817,248.22144308810397,1,0,15.200000000000001
39,212.03810109240476,248.20742272414648,1,0,15.600000000000001
40,211.96091130839494,248.12273279155428,1,0,16.0
41,211.7398115389179,247.88030164567925,1,0,16.400000000000002
42,211.7395420933781,247.88918720760577,1,0,16.8
43,211.76315212617868,247.87876587619317,1,0,17.2
44,211.58661979561887,247.7381017276565,1,0,17.6
45,211.54882843641505,247.70042776589077,1,0,18.0
46,211.4093253178995,247.54283182926676,1,0,18.400000000000002
47,211.43857047778323,247.5907264168681,1,0,18.8
48,211.31637273408768,247.42681990344937,1,0,19.200000000000003
49,211.31771953812003,247.45504986325133,1,0,19.6
