dry_density,06H,06V,10H,10V,19H,19V,37H,37V
630,243.4227040506956,270.6589274915336,249.33448538978004,272.45628991152216,253.2733945938987,272.7170295220228,255.81300062444845,272.7970580539371
640,243.6677705652462,270.77834103278184,249.49995242445664,272.5425609367141,253.36371244573505,272.7495928789412,255.7976825423345,272.77723253459015
650,243.6469786937487,270.68842478897045,249.4796934878672,272.5153557546363,253.35696680735958,272.7267353173462,255.80959060714594,272.7743762719828
660,243.7398253788529,270.6105371585041,249.63720239863022,272.59338264508165,253.44713265941942,272.76112866159156,255.8605152409035,272.79289078203493
670,243.68520896572616,270.3752919762507,249.62420947066641,272.56498064545514,253.48078010713138,272.75920888695106,255.91412951932665,272.81215633686514
680,243.81682005627263,270.3851356041986,249.76921174440878,272.6292143207469,253.51743014206107,272.762097641969,255.89729399338898,272.79117546586417
690,244.00738656465532,270.51365333628655,249.75373238068264,272.59101893273447,253.61898203086463,272.8005623673098,255.93116723925064,272.8006695616059
700,244.13420216522792,270.59117399904306,249.86976688417838,272.623916020091,253.60923762612742,272.77497838322364,256.0050253470614,272.83207198555056
710,244.33100769363458,270.67976914314494,249.84285877944544,272.5593996891849,253.7027513664532,272.8099919495284,255.98648128638217,272.80939541712394
720,244.38144822751562,270.67446799147075,249.8806353785971,272.5129471716524,253.70641771995986,272.7914576734215,256.01135303654183,272.81377098542697
730,244.47254710700253,270.67930141104614,249.83235900021313,272.38948439783695,253.77710641429883,272.8138472868424,256.08006092603534,272.8413814407045
740,244.5925650384319,270.71960439400146,249.7414615208428,272.1990691541347,253.79797414841633,272.8054985392993,256.0664995683356,272.8226553368291
750,244.49926827128155,270.5312428759942,249.61054077301185,271.93537684199634,253.8559440702224,272.8209614811734,256.0937083794702,272.82763892642345
760,244.51206555316512,270.4650092201494,249.60830757733962,271.84767153391124,253.87865230691932,272.8138559672036,256.15441003484847,272.85130549511996
770,244.39628778874936,270.2601945499773,249.6788198601531,271.86689010055903,253.93136630247497,272.82526665835167,256.1383841089084,272.83122561322455
780,244.2022093559619,269.9949960575747,249.67899010159556,271.84420884464475,253.94253127062115,272.8093260868507,256.1833354397277,272.84718013306093
790,244.10018047233473,269.8461968591181,249.6873687291914,271.8186671315981,253.99097205774984,272.812485306274,256.2004468910763,272.8454594634574
800,243.89421733846098,269.6235907563753,249.75719036841537,271.85628169439974,253.97246741280594,272.76879252830736,256.21583190189415,272.84503949490784
810,243.58538452645473,269.27497670335526,249.70282881492824,271.7763438633899,254.00211749145197,272.741976613281,256.2677174358833,272.8639173592437
820,243.29355776088275,268.9408375764739,249.71260209762875,271.7525637191298,253.9220506716596,272.6327307778298,256.25770596751556,272.8490081935806
830,242.94522066006112,268.59659189865016,249.63331040408974,271.6289831117534,253.85864590355163,272.50559571903113,256.30908299059894,272.8683897040443
840,242.57198760628395,268.2186215354753,249.61965899007038,271.61226569086875,253.6950146352671,272.28335156145965,256.3009763031302,272.8539850613237
850,242.16508555782207,267.7831691236889,249.56234622545063,271.51302680399897,253.75053288998672,272.3002752613164,256.3360742367783,272.8631188953437
860,241.75448542013075,267.4000123140741,249.44839425928348,271.38720755389164,253.7403336081341,272.2615905652777,256.3305579244391,272.84509788769265
870,241.3788272545637,267.0409118478569,249.36949310842894,271.30183609960756,253.78179352575202,272.30715332917987,256.33800184279033,272.8268548072263
880,241.0598594973817,266.7593000767426,249.28977768010782,271.20827155039393,253.88976231377129,272.41027720289173,256.28783498375674,272.7525102019928
890,240.6339160990147,266.35197361000695,249.16033454482167,271.08327274648695,253.73746225876027,272.2231019348302,256.1759867838812,272.59456256390183
900,240.29702276298772,266.03398159153693,248.9720483161432,270.8666354077337,253.8580423082372,272.3570744650427,256.0394815735658,272.4209844392333
910,239.891232058604,265.6424337393125,248.8639199666883,270.7736727463643,253.73675954872715,272.20237874022627,256.03668375528866,272.3941771185615
