snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
34,230.31465205146074,248.66377013149855,244.70161348023692,258.96449311304275,254.407731692745,266.0841170194303,259.30902616257646,269.67221339338374,0.4,1,1
35,235.356615110465,252.69112968289073,248.07278696134415,261.9204354256741,256.0192229859091,267.7003618078679,260.02728748464773,270.48217588644303,0.5,1,1
36,239.2367153567699,256.05641664091854,250.16480064216395,263.953188530237,256.54455606167767,268.34056227656123,260.0152067064568,270.58696773159625,0.6000000000000001,1,1
37,241.89566685283333,258.47162091497825,251.41790353897673,265.3237666456769,257.0902771312081,269.10150388639624,260.2559123833296,270.9856462113072,0.7000000000000001,1,1
38,244.0891689207269,260.6690458832243,252.2317258625534,266.3610830137339,257.1975634423773,269.41302480175017,260.17762079943464,271.0489144145362,0.8,1,1
39,245.50302799093856,262.3488187775569,252.96755327361973,267.4098876172382,257.2461286319673,269.6758681017464,260.27934841539815,271.3088192626955,0.9,1,1
40,246.80334814391023,263.9084886040947,253.32660433764516,268.0896718793899,257.48431773466785,270.1611887954316,260.11826746866075,271.27923192179384,1.0,1,1
41,249.12016824060623,267.6829003628189,253.9225164833937,270.2036827383024,257.59463932984596,271.18428581722094,260.06059937056017,271.833142908398,1.4,1,1
42,249.60450973596198,270.08179630844364,253.90451678067487,271.72015713110727,257.5407226894961,272.0984476601412,259.8796806799948,272.22992971613735,1.8,1,1
43,249.14960559842345,271.6439566080377,253.32102308473551,272.6479460341933,257.40600839136084,272.86847912690064,259.58944395375215,272.5096791480908,2.2,1,1
44,248.177702046402,272.72171312792904,252.58219545499074,273.4340192657497,257.0543628764569,273.4067935508407,259.26347922864846,272.7466988800936,2.6,1,1
