,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp
0,214.31563452133685,242.84695614895645,223.86402324359827,250.95614716029297,232.39211425602903,259.08942267007836,235.79724238412834,263.1958032533112,9,0
1,214.16546961308106,242.6855135798082,223.7864896138049,250.87723097999333,232.13609545262912,258.82273853246204,235.79724238412834,263.1958032533112,3,1
2,214.54699888943168,243.08449534994594,223.6337389545355,250.71383133046854,232.1360954526291,258.82273853246204,235.79724238412834,263.1958032533112,1,2
3,212.88601633078267,241.8972500201316,223.33931203587792,250.71584947261974,232.3061501504748,259.0232562731144,235.7972582778598,263.19582080436686,25,3
4,212.95375672869818,241.718509774951,223.2726938604747,250.6180878852547,232.2250648827417,258.95602715082055,235.79727344599632,263.19583753172367,2,4
5,211.89741649490273,243.0214860013523,220.5008975870524,249.54007551010122,232.2332954200133,258.4335097916715,237.9253623345656,262.7793641708092,7,5
6,211.86922264824432,242.9903068101842,220.49315442573712,249.5316445782588,232.2332954200133,258.4335097916715,237.9253623345656,262.7793641708092,5,6
7,212.93413991424293,242.94226632532465,222.2154706519416,249.82288516799565,232.04242967910105,257.1952809371372,235.48417457933087,261.3287922467983,19,7
8,212.79520882466136,242.79288987207613,222.0470595740876,249.64113692401733,232.13938973105007,257.3007327138445,235.49060607885082,261.33535812577924,19,8
9,211.35742731819036,241.01757010385504,220.63838569601612,248.76095457305257,231.3392483328003,256.4479347448727,238.67018554670736,258.9724765541787,28,9
10,212.05693373097904,242.69023091214208,220.8343345713413,250.25014647902466,232.02692494791276,259.24356860146565,236.9940298612728,262.5457799654008,27,10
11,212.5397814319846,243.21282891246287,220.5441314127785,249.93685841806334,232.02692494791276,259.2435686014656,236.9940298612728,262.5457799654008,1,11
12,209.61180195002603,243.6293351329797,219.12104845917543,251.7177807472237,229.4354706989056,258.93811413252797,235.73722258844018,262.182769524053,7,12
13,214.22358328456357,243.73878978213003,222.3779658176191,250.08685499155885,233.0628669525432,258.46661740668685,235.93151145514733,261.02162360661055,4,13
14,214.24265558088973,243.6775812082056,222.48547805755325,250.10519572812333,233.05413712935132,258.3652885136627,235.44287810059868,260.4361405267592,86,14
15,210.45029635749364,242.98455132017799,219.39201458877832,250.76572299637525,229.2218330660989,257.73278905664756,237.2583803716596,260.8453463068488,2,15
16,212.62022197406307,242.59933666392172,220.03637766522212,249.63176142999507,230.79145808011302,259.65342890530724,232.3517749944054,261.26844132029527,5,16
17,215.6050758104257,243.7540639921189,221.86400367738588,249.0552193608826,231.6238944691731,257.3984604835268,234.10783995311297,260.97027793626705,8,17
18,212.74668193126723,243.4813019999544,221.91297788917652,251.31795425873418,231.9903308918334,259.44490939417824,234.3039255082817,260.76903130589255,4,18
19,211.06176984124215,243.95264340808745,218.90796306018808,250.1201365682977,230.22747955889773,258.9478445027941,233.56129909580176,260.294417969228,5,19
20,212.78494964396145,243.62463443198538,221.79940671438712,251.30639395467097,231.89485968365892,259.47100283553004,234.20228591256173,260.811857347575,29,20
21,213.15753004971683,242.88043007880566,222.01038558096047,249.8720480861394,233.21969136992053,257.9629593951286,235.63176658662132,260.3582676096628,18,21
22,211.88926970048237,243.47023490025515,221.6050190597386,250.9478293797989,232.19387255736964,258.92638519137716,235.68936158846498,259.91497319722146,40,22
23,212.0155270644397,243.54095647204446,221.64222534274788,250.9744082926358,232.23885328868693,258.97329900344886,235.6514980021564,259.88698611397575,12,23
24,211.74560234781111,243.6947330856972,221.3383719514233,251.14018326580614,231.80766577245012,259.12036850675105,234.894261276069,259.95008073484325,4,24
25,208.43150876011435,242.65363900557023,217.60149928760973,250.2160883471377,228.68685848893682,258.68247000015833,234.13243370047192,259.9722003016446,9,25
26,208.4558049669776,242.66160031499373,217.62237603677573,250.2206654206328,228.67074278468155,258.6663778568288,234.08505485255964,259.9363566312035,69,26
27,210.69040133076604,242.8875896645083,219.5188214155296,249.83374811950432,231.08644651113548,257.57582175303975,235.7842315216948,258.35533118822514,7,27
28,210.68121182264,243.98120108190992,220.07398208502033,252.01193564556675,229.82042599009273,259.4165235844315,232.51426945246584,260.4221220321218,9,28
29,208.93963360179933,241.54619485496335,219.01533112343472,249.51891733109727,230.8422447055601,257.32676985198344,235.7897001555419,258.3615541183608,46,29
30,210.6904013190542,242.8875896521989,219.5188214038221,249.8337481069529,231.08644648950502,257.57582172953653,235.7842311842091,258.35533088571486,14,30
31,210.19802284156842,241.9083520907992,219.64969280597975,249.39597756977244,231.57558524850631,257.72522128709835,235.93894590599396,258.47172599745045,6,31
32,208.1831817755693,242.2737388902806,217.59676697373004,250.07111276590976,228.51166446612248,258.3283593326627,233.91441205086372,259.4402905602369,6,32
33,210.7850122712659,242.97450735680926,219.39357477015065,250.282168391719,230.54789818873255,258.62741950705447,235.2652667325753,260.7339933052977,8,33
34,210.7850122647296,242.97450735018938,219.39357476348536,250.28216838497363,230.54789818863037,258.62741950751297,235.26526667707327,260.7339932560259,3,34
35,210.47108088688108,242.3936863922694,219.62325552049944,250.44669108564847,230.2318646766748,259.27917104439985,233.06084725152243,259.8233156479037,92,35
36,213.66411976962368,243.47844802703068,221.33911243444217,249.88525425313728,231.43280551723606,257.51956426082813,233.12664668424185,259.4892574539679,19,36
37,210.35316596998734,243.60865496819292,219.41993556615992,251.36361618422325,230.14295507885132,259.65278269099895,233.23309899576148,260.78968775794476,31,37
38,211.24733473436018,243.40424714204937,219.70404550710325,250.94625423251213,229.52097384355753,258.7927574633914,232.35825613760915,259.08693056049856,9,38
39,211.53287869062763,242.42196780652878,220.12325606790031,249.93532677198527,231.13011295172822,258.4151567670446,233.77493651033996,258.42986898309994,9,39
40,209.33257393940843,242.56092003041513,218.6896909532845,250.70961395612508,228.75158518142783,258.58745755212067,231.69679735015353,258.4116936970893,10,40
41,211.140586262959,242.89975237815105,220.06405158164614,250.65507489773915,230.4743982411652,258.53538228296406,233.5206074552106,258.512549214288,117,41
