thickness,lwc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,lwc_dup
0.02,0.0028000000000000004,14,157.69992775638542,214.3736109921773,170.68747512541665,216.3002647381966,191.63183287615334,224.39922040414325,217.56314676969563,238.01217507280552,126.36453115264675,193.88730316202017,0.02,0.0028000000000000004
0.02,0.003,15,158.9532478516499,215.039695241881,172.44788798939166,217.2207090292627,193.89094743885022,225.87619438147257,219.32841225075597,239.31993160995202,126.41600133355762,193.9516033302889,0.02,0.003
0.02,0.0032,16,160.17841203365134,215.69502023518436,174.28285112429612,218.30282542191938,196.06072962334747,227.29778461733432,221.0131267768024,240.56995009463947,126.46606000071097,194.01567211860058,0.02,0.0032
0.02,0.0034000000000000002,17,161.37618417685684,216.33976514918947,176.06313065032893,219.35698113337304,198.14522825744652,228.66657984627693,222.62137453345645,241.76526111012737,126.51472703969708,194.07949620540703,0.02,0.0034000000000000002
0.02,0.0036,18,162.54730300908952,216.97410963747498,177.79068049785297,220.3841117610546,200.14827667253434,229.98501320131015,224.15699406577585,242.9086919138978,126.56202189969592,194.14306325874102,0.02,0.0036
0.02,0.0038,19,163.28170744309193,216.99596314357896,179.46737312381546,221.38511484739217,202.07350721910439,231.25537538879297,225.62359825504348,244.00288652909458,126.6079636365597,194.20636187222556,0.02,0.0038
0.02,0.004,20,164.40464254504525,217.61426351981333,181.09500323773727,222.36085177921822,203.92436436409085,232.47982619550643,227.02459164590636,245.05032245022392,126.65257094931151,194.2693815061422,0.02,0.004
0.02,0.0042,21,165.50295575676319,218.22262452122828,182.67529136003466,223.31214954896404,205.40243910136144,233.24277654541038,228.3631857614494,246.05332496707356,126.69586221122478,194.33211243296833,0.02,0.0042
0.02,0.0044,22,166.57729506513533,218.82122484291588,184.2098872159948,224.23980239618336,207.1196781175579,234.38897823142955,229.64241279410518,247.01407966407288,126.73785549635237,194.39454568688114,0.02,0.0044
0.02,0.0046,23,167.62828775032477,219.41024163297436,185.7003729701883,225.144573343757,208.77173501872397,235.49487566251415,230.86513793981462,247.93464345110834,126.77856860225799,194.4566730168452,0.02,0.0046
0.02,0.0048,24,168.65654115672206,219.98985025620357,187.14826630698562,226.02719564020921,210.3614160212416,236.56220186341577,232.034070574898,248.81695437658033,126.81801906951067,194.51848684290889,0.02,0.0048
0.05,0.0,0,136.6877385878372,203.81481668938628,137.0035012242197,197.2624264744394,147.5322236439198,195.80173238275498,180.88581000454005,210.89836917188745,125.48816142674403,192.96485938088543,0.05,0.0
0.05,0.0002,1,141.10763941995057,205.87119919275483,144.24180329108688,201.0944766021565,157.8389308838362,202.4407825070829,190.38087307123254,217.9754047566214,125.74538359495236,193.13079118156602,0.05,0.0002
0.05,0.0004,2,145.26482601998032,207.80618919326645,150.98065561858712,204.7615853672775,166.77423610672258,208.1262101354905,197.81682657616656,223.4072182293767,125.98913928999484,193.27872313193015,0.05,0.0004
0.05,0.0006,3,149.2296855805379,209.76473243684927,157.25664838881085,208.19717075832662,174.83446137901944,213.24906317379507,204.3912125340359,228.1996977362629,126.22929593675335,193.43670056548677,0.05,0.0006
0.05,0.0008,4,153.00555430993313,211.59337095010724,163.15607268585515,211.62220674317908,182.11679488550635,217.8808356611043,210.2196740850276,232.44630311527172,126.46502196068607,193.58804901683175,0.05,0.0008
0.05,0.001,5,156.60595424143227,213.35301065385792,168.6002220645041,214.67540968758436,188.7049641085618,222.0795597416486,215.3978216295953,236.22196282701094,126.69685065099648,193.7390924192196,0.05,0.001
0.05,0.0012,6,160.04051863045447,215.04739078802936,173.5417318877146,217.34707250767872,194.73076388774928,226.09076496084327,220.0061274675811,239.58812751483958,126.92486546502847,193.88977803776334,0.05,0.0012
0.05,0.0014000000000000002,7,162.90294875891044,216.07464454359902,178.27271739768614,220.0334558717223,200.1355059875272,229.57116900845665,224.11318982622933,242.59607273361567,127.1491395175097,194.04004371251963,0.05,0.0014000000000000002
0.05,0.0016,8,166.04031949470544,217.6589080870782,182.68591124752064,222.5547786156929,204.732568859513,232.31738492976854,227.77803281183932,245.28916021164693,127.36973947455795,194.18983025448046,0.05,0.0016
0.05,0.0018,9,169.03715938639658,219.18577709532215,186.80546983061157,224.9233375206041,209.1983627892194,235.22518387017158,231.05179978229202,247.7044465341108,127.58672729772273,194.33908307002764,0.05,0.0018
0.05,0.002,10,171.90097036200137,220.65775403867093,190.53258708481212,226.97598160263072,213.25749348971388,237.88098952870146,233.99318133966142,249.94355635892038,127.8001612819726,194.48775218151823,0.05,0.002
0.05,0.0022,11,174.63880002352997,222.07723357596672,194.13307794484788,229.076996054652,216.95007655900946,240.3098417163091,236.60967161226114,251.89398169249276,128.0100967588879,194.6357919364431,0.05,0.0022
0.05,0.0024,12,177.25726960694587,223.44650482326264,197.50072838437015,231.05569491981691,220.31187151534812,242.53383560604644,238.95273491819086,253.6493977940486,128.21658660835587,194.78316067083014,0.05,0.0024
0.05,0.0026000000000000003,13,179.76260084880366,224.76775377252793,200.65259797205692,232.92064613032107,223.37483274949986,244.57257749504194,240.5293618302792,254.59463701235913,128.41968164767167,194.92982038898748,0.05,0.0026000000000000003
0.05,0.0028000000000000004,14,182.16064152960988,226.04306613707945,203.60435794430452,234.67972446489392,226.16756896390316,246.44353566843316,242.44208625739728,256.0581779271233,128.6194309361935,195.07573647239488,0.05,0.0028000000000000004
0.05,0.003,15,184.4568895925542,227.2744305795915,206.25053301828933,236.16770564466606,228.71573405349181,248.16232303810764,244.16009770931717,257.38172118454895,128.81588201877796,195.220877417688,0.05,0.003
0.05,0.0032,16,186.6565158145267,228.4637422148789,208.84768738485582,237.74136094746711,231.0423635715143,249.74293054927173,245.70430080609566,258.57998710980354,129.00908112321056,195.36521460065,0.05,0.0032
0.05,0.0034000000000000002,17,188.7643850521996,229.61280628311252,211.2844616572553,239.22903376014497,233.168166685875,251.19792312724593,247.09322089715775,259.66600558236865,129.199073322095,195.50872206272902,0.05,0.0034000000000000002
0.05,0.0036,18,190.78507611206825,230.7233419078688,213.5721025168135,240.63642601411348,235.1117810310523,252.53860618616253,248.3432966700827,260.6513364750829,129.38590266672065,195.6513763170329,0.05,0.0036
0.05,0.0038,19,192.7229003075759,231.79698587296957,215.72097795284978,241.9688088303937,236.6198088371073,253.4045379044143,249.46913185900362,261.5462544996983,129.56961229846198,195.79315617122472,0.05,0.0038
0.05,0.004,20,194.58191877348,232.83529636868963,217.7406521827116,243.23105928155738,238.2595639101676,254.5624700129555,250.48371314475344,262.3599064081999,129.7502445419391,195.93404256520955,0.05,0.004
0.05,0.0042,21,196.36595861023497,233.8397566711319,219.63995364915968,244.42769351013933,239.762150692052,255.6329899770982,251.39859966456322,263.1004459211754,129.9278409832104,196.0740184218861,0.05,0.0042
0.05,0.0044,22,198.07862793110036,234.8117787288194,221.42703679217215,245.56289664987474,241.13993667672096,256.62365948120646,252.22408843001236,263.7751503227632,130.1024425355884,196.21306850951433,0.05,0.0044
0.05,0.0046,23,199.72332988297848,235.7527066384172,223.10943821385925,246.64054992359314,242.40410019551956,257.5413282896149,252.96935914162754,264.3905217439308,130.2740894951239,196.35117931448318,0.05,0.0046
0.05,0.0048,24,201.30327570928822,236.66381999745758,224.69412778712072,247.6642552349986,243.5647519052792,258.3922073484232,253.64260127553916,264.9523755181394,130.44282158745773,196.48833892347702,0.05,0.0048
0.1,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.1,0.0
0.1,0.0002,1,145.41177965359074,207.845701150616,151.19150029681091,204.85594200815203,167.16551598958796,208.37911587378045,198.71767778478218,224.11347175377898,126.06322147022516,193.28529921641393,0.1,0.0002
0.1,0.0004,2,153.274368126547,211.50268161825934,163.42317778607386,211.51438349516704,182.54339621328938,218.11556045790095,211.0081845190138,233.0379888732293,126.59407006182994,193.57203126445177,0.1,0.0004
0.1,0.0006,3,160.22214613309384,214.69515885430042,173.95267301666496,217.18409549161672,195.1545533179734,226.1180694475561,220.71794926994164,240.092255507567,127.15945825824642,193.94138992569341,0.1,0.0006
0.1,0.0008,4,166.65807703379505,217.69432360402857,183.08636150036418,222.31976693164006,205.22860933137318,232.3210278585937,228.43498916727955,245.72215833818657,127.67068307261441,194.22762861033183,0.1,0.0008
0.1,0.001,5,172.74797440696574,220.73771996413117,191.3147610540403,227.1044737063408,213.82425356918108,237.8719523159906,234.59471641973818,250.24608386371298,128.1743020417544,194.5146872707041,0.1,0.001
0.1,0.0012,6,178.3113179824333,223.52708424513912,198.47911108980352,231.26183029489408,220.50246513500016,241.99479651574705,238.99279188276813,253.24903975185782,128.66993479478782,194.8012717152758,0.1,0.0012
0.1,0.0014000000000000002,7,183.41560991352412,226.1121354493148,204.72563591346514,234.8946772882319,226.70128190681703,246.367656419844,243.0001153510932,256.26902588959734,129.1573766758034,195.08662189415367,0.1,0.0014000000000000002
0.1,0.0016,8,188.10750047278768,228.51615967885638,210.08402006149484,237.94098752135136,231.69847211742157,249.79447237014128,246.24465893033423,258.74975949707306,129.6366448485797,195.3703888209636,0.1,0.0016
0.1,0.0018,9,192.42604982695772,230.75591737012064,214.89839132732172,240.80082475207553,235.81855914372997,252.61684808437806,248.86793708166186,260.782275745403,130.10783763026848,195.65238422253483,0.1,0.0018
0.1,0.002,10,196.40555398305918,232.8454109732886,219.13667664653187,243.34883219337257,238.98831692499078,254.6347078638788,250.46667363290345,261.7634749467775,130.5710837673192,195.9324915957832,0.1,0.002
0.1,0.0022,11,200.07658637275512,234.79696682836817,222.87457282325641,245.62495472050352,241.86422695980147,256.65635769969026,252.45101998328548,263.5111455052241,131.02652305538467,196.21063128540283,0.1,0.0022
0.1,0.0024,12,203.46657117529153,236.62165879820995,225.9735047128831,247.37421537488362,244.27128435340538,258.3721439000555,253.96369840902707,264.8059620558156,131.4742983032924,196.48674506240624,0.1,0.0024
0.1,0.0026000000000000003,13,206.60018560588384,238.32952402786532,228.90738220979625,249.2201375778247,246.2910649242642,259.8346625529527,255.16707999239895,265.83515629753833,131.91455181916473,196.76078858640668,0.1,0.0026000000000000003
0.1,0.0028000000000000004,14,209.49967897568658,239.92969900270072,231.40672550395092,250.73677321623833,247.98985539545146,261.0861202716777,256.138071643493,266.67310032437433,132.3474238499966,197.0327273789117,0.1,0.0028000000000000004
0.1,0.003,15,212.1851407828264,241.430519431515,233.72189622610702,252.24211851859434,249.20636876799057,261.8695941854759,256.92747532495156,267.3641837992285,132.773051915836,197.3025344900454,0.1,0.003
0.1,0.0032,16,214.67473228726726,242.83960087479014,235.7810826318874,253.60228342720595,250.4347272069208,262.82131601443217,257.57249781515355,267.93914903484756,133.1915705689925,197.5701890386219,0.1,0.0032
0.1,0.0034000000000000002,17,216.98488935093448,244.16390746864107,237.5179315617024,254.69602132135446,251.4759876861307,263.64569452046464,258.1015903551529,268.4207984021127,133.60311135781987,197.83567522967107,0.1,0.0034000000000000002
0.1,0.0036,18,219.13050144944083,245.40981227571748,239.1600732394785,255.82137783324066,252.3606754392365,264.36237088320445,258.21746644164335,268.44220086908086,134.00780288717337,198.09898164717222,0.1,0.0036
0.1,0.0038,19,221.1250703456702,246.58315113987481,240.62775303810633,256.8449123300052,253.11408336818096,264.98773054078407,258.6108686099897,268.82737999313565,134.40577092124803,198.36010071367133,0.1,0.0038
0.1,0.004,20,222.6303319855402,247.18647412172479,241.9415455049614,257.7778414026654,253.5557377580993,265.2647455670106,258.93849136374644,269.1570137948935,134.797138501123,198.61902825627786,0.1,0.004
0.1,0.0042,21,224.36986220121773,248.24665692875982,242.94576331490592,258.3853060547544,254.1229634619587,265.769390013858,259.21199580425366,269.4404190536022,135.18202606305795,198.87576314400158,0.1,0.0042
0.1,0.0044,22,225.99139062676431,249.24831105517478,244.0128045747387,259.1788474267597,254.61043345730147,266.21553999849397,259.44081315220353,269.6851787796316,135.5605515507564,199.13030697546083,0.1,0.0044
0.1,0.0046,23,227.50415619503056,250.195601412756,244.97275498823677,259.9071478217749,255.0304237727371,266.6115295588886,259.632601947244,269.89750127783964,135.9328305186649,199.38266380400643,0.1,0.0046
0.1,0.0048,24,228.9165767933971,251.09235414095465,245.75611890155523,260.4622288742463,255.39320442896604,266.9644056196659,259.7936037736157,270.0824949163144,136.2989762253986,199.63283989197637,0.1,0.0048
0.5,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.5,0.0
0.5,0.0002,1,173.17474612832646,220.7791120890938,191.66557586750704,227.44107326598362,214.45629603865427,239.03822144798255,237.03469363489148,252.96331634377117,128.5075007213706,194.42986808594122,0.5,0.0002
0.5,0.0004,2,197.0319986797089,232.3363362726871,219.17266084007096,242.8331113001076,238.93591176071683,254.68711737666416,251.6424928636554,263.3461029704952,131.23992568085635,195.77330455617096,0.5,0.0004
0.5,0.0006,3,213.11225250037648,240.51137739620762,233.61355616885962,251.12470083059065,248.936172742573,261.28350528727583,257.1881285792157,267.55187411674746,133.90602650595932,197.11822288244335,0.5,0.0006
0.5,0.0008,4,223.65030672760034,245.79497191139694,241.58513816080116,256.06656516985646,253.27505071526,264.3836644566352,259.1030025270126,268.99522084942157,136.47842183780787,198.43329850263774,0.5,0.0008
0.5,0.001,5,231.14183657838092,249.98822416541879,246.02147586850748,259.00293135539704,255.24596623279186,265.92324404936954,260.12970076779175,269.92702475939024,138.9346282260968,199.67521725004667,0.5,0.001
0.5,0.0012,6,235.98884439599036,252.56693050246272,248.50608778046376,260.74070079344403,256.199712507,266.74978732429184,260.4150531938681,270.16782201798316,141.37262732831218,201.02480537918746,0.5,0.0012
0.5,0.0014000000000000002,7,239.54577839339083,254.89959200712264,249.95296091105266,261.8335278805233,256.7122113142726,267.251522188371,260.5526068095585,270.3032509074382,143.67534644252825,202.20543269752145,0.5,0.0014000000000000002
0.5,0.0016,8,242.00204798904872,256.44093468279914,250.70806138224208,262.56492574949544,256.8960289796189,267.4353027605414,260.7996226493426,270.5923399313233,145.91247656796884,203.3688615536599,0.5,0.0016
0.5,0.0018,9,243.74711017975915,257.6084949428942,251.3389600271133,263.18789929433086,257.12200207919926,267.7136873739988,260.8229143434758,270.6320036624532,148.08295634247864,204.51159091993875,0.5,0.0018
0.5,0.002,10,245.00264749973178,258.507340523466,251.77911543287485,263.66376590528927,257.2957684475118,267.94380876552606,260.73386008921494,270.5534236580286,150.17002911663008,205.61206001220228,0.5,0.002
0.5,0.0022,11,246.0955202130769,259.4424558165624,252.03978061270664,263.9667491107332,257.359242186425,268.0458342028696,260.794749155731,270.6641252534145,152.18636104918153,206.68295533785212,0.5,0.0022
0.5,0.0024,12,246.794753263366,260.02902982972495,252.28494793314405,264.2894219371269,257.43519921523693,268.1685114844132,260.7922836086248,270.68385283478244,154.13928011329304,207.72755642358538,0.5,0.0024
0.5,0.0026000000000000003,13,247.46826974665046,260.69538692587474,252.43403436059575,264.50748433823213,257.36716421207836,268.2398324765,260.8766606994914,270.8112205984829,156.02088967909884,208.72818726239433,0.5,0.0026000000000000003
0.5,0.0028000000000000004,14,247.76913896846432,260.95794536420425,252.558848088511,264.7042446619515,257.44028152416166,268.408644764992,260.7626861870568,270.7359271061695,157.86480415543164,209.74394179162925,0.5,0.0028000000000000004
0.5,0.003,15,248.1098768812755,261.3258689618741,252.67594424606384,264.89636225876353,257.43014054167065,268.4375581494829,260.88587005228464,270.88411831642674,159.55358338854947,210.61326422717485,0.5,0.003
0.5,0.0032,16,248.39664096632762,261.66155507547586,252.82985245687814,265.1358074948509,257.5279871096492,268.59148714037326,260.9617683370463,270.9856099371673,161.35225013790452,211.6872286222797,0.5,0.0032
0.5,0.0034000000000000002,17,248.6346834801885,261.9605824234134,252.90195491836892,265.2776566925716,257.6543849090961,268.7592125907142,261.0075303013407,271.0575475428447,163.04150085209878,212.65105472520432,0.5,0.0034000000000000002
0.5,0.0036,18,248.94455433495546,262.367971579975,253.01712398825893,265.47320398348904,257.5394075922461,268.703486764409,261.0340350169854,271.1107433214683,164.67684923714955,213.58486252720834,0.5,0.0036
0.5,0.0038,19,249.14196135231376,262.64811048311583,253.10305818994286,265.64027720229427,257.6502456018438,268.85661982335773,260.75016694490796,270.85765282214595,166.26943941977825,214.5054915784226,0.5,0.0038
0.5,0.004,20,249.31150989911666,262.90122498379606,253.09545051163838,265.77681828799865,257.73049400218287,268.9801951914713,260.838628750283,270.9734649084175,167.8272958772153,215.42042857638413,0.5,0.004
0.5,0.0042,21,249.4701720743023,263.1472645281903,253.28149555134013,266.03225103366356,257.78919151502214,269.08309739626696,260.8993598675184,271.0616121869027,169.33857945295867,216.31803809764585,0.5,0.0042
0.5,0.0044,22,249.6143535390672,263.380332499564,253.21982903520242,266.0361457440999,257.83263423250554,269.17147458733376,260.9403506965921,271.1301368083898,170.8016704289441,217.19018515877178,0.5,0.0044
0.5,0.0046,23,249.6790805857986,263.5193838936378,253.30596067111216,266.20757975784323,257.86521905242324,269.2495919169537,260.9672780548447,271.1847328526025,172.23098546510957,218.0534401243232,0.5,0.0046
0.5,0.0048,24,249.82898136488814,263.7663325103277,253.4616894647505,266.43037745392604,257.56545894024066,269.00975725994977,260.95364093631906,271.237629890683,173.6222528888668,218.9001227376942,0.5,0.0048
